Linux 3.19.0-28-generic (storm6) 	04/15/2016 	_x86_64_	(1 CPU)

05:19:32 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:26:00 PM     all     30.37      0.00     15.18      0.00      0.00     54.45
05:26:02 PM     all     28.43      0.00     14.72      0.00      0.00     56.85
05:26:04 PM     all     29.84      0.00     13.61      0.00      0.00     56.54
05:26:06 PM     all     35.38      0.00     12.31      0.00      0.00     52.31
05:26:08 PM     all     31.16      0.00     14.57      0.00      0.00     54.27
05:26:10 PM     all     30.73      0.00     16.15      0.00      0.00     53.12
05:26:12 PM     all     28.95      0.00     14.21      0.00      0.00     56.84
05:26:14 PM     all     26.98      0.00     17.99      0.00      0.00     55.03
05:26:16 PM     all     30.73      0.00     14.58      0.00      0.00     54.69
05:26:18 PM     all     31.16      0.00     17.59      0.00      0.00     51.26
05:26:20 PM     all     30.21      0.00     11.98      0.00      0.00     57.81
05:26:22 PM     all     30.77      0.00     13.85      0.00      0.00     55.38
05:26:24 PM     all     29.80      0.00     17.68      0.00      0.00     52.53
05:26:26 PM     all     32.98      0.00     11.70      0.00      0.00     55.32
05:26:28 PM     all     31.25      0.00     16.15      0.00      0.00     52.60
05:26:30 PM     all     29.63      0.00     13.23      0.00      0.00     57.14
05:26:32 PM     all     25.65      0.00     15.18      0.00      0.00     59.16
05:26:34 PM     all     30.61      0.00     16.33      0.00      0.00     53.06
05:26:36 PM     all     30.00      0.00     13.16      0.00      0.00     56.84
05:26:38 PM     all     34.50      0.00     13.50      0.00      0.00     52.00
05:26:40 PM     all     31.09      0.00     14.51      0.00      0.00     54.40
05:26:42 PM     all     31.00      0.00     14.00      0.50      0.00     54.50
05:26:44 PM     all     28.43      0.00     15.74      0.00      0.00     55.84
05:26:46 PM     all     27.84      0.00     17.01      0.00      0.00     55.15
05:26:48 PM     all     32.12      0.00     14.51      0.00      0.00     53.37
05:26:50 PM     all     32.16      0.00     13.07      0.00      0.00     54.77
05:26:52 PM     all     33.16      0.00     13.47      0.00      0.00     53.37
05:26:54 PM     all     34.69      0.00     13.27      0.00      0.00     52.04
05:26:56 PM     all     30.37      0.00     13.09      0.00      0.00     56.54
05:26:58 PM     all     33.17      0.00     13.17      0.00      0.00     53.66
05:27:00 PM     all     32.16      0.00     15.58      0.00      0.00     52.26
05:27:02 PM     all     32.16      0.00     16.08      0.00      0.00     51.76
05:27:04 PM     all     33.67      0.00     13.78      0.00      0.00     52.55
05:27:06 PM     all     34.34      0.00     14.14      0.00      0.00     51.52
05:27:08 PM     all     31.55      0.00     17.96      0.00      0.00     50.49
05:27:10 PM     all     32.65      0.00     14.80      0.00      0.00     52.55
05:27:12 PM     all     30.73      0.00     16.67      0.00      0.00     52.60
05:27:14 PM     all     34.69      0.00     14.29      0.00      0.00     51.02
05:27:16 PM     all     33.84      0.00     13.64      0.00      0.00     52.53
05:27:18 PM     all     32.45      0.00     13.30      0.53      0.00     53.72
05:27:20 PM     all     31.68      0.00     15.84      0.00      0.00     52.48
05:27:22 PM     all     29.69      0.00     15.62      0.00      0.00     54.69
05:27:24 PM     all     30.16      0.00     14.81      0.00      0.00     55.03


05:27:24 PM     all     36.36      0.00     18.18      0.00      0.00     45.45
Average:        all     32.09      0.00     14.59      0.03      0.00     53.29
