Linux 3.19.0-28-generic (storm6) 	04/15/2016 	_x86_64_	(1 CPU)

12:35:47 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:42:23 AM     all     27.04      0.00     10.20      0.00      0.00     62.76
12:42:25 AM     all     28.12      0.00      9.38      0.00      0.00     62.50
12:42:27 AM     all     25.00      0.00     12.76      0.00      0.00     62.24
12:42:29 AM     all     30.77      0.00     13.33      0.00      0.00     55.90
12:42:31 AM     all     38.42      0.00     11.58      0.00      0.00     50.00
12:42:33 AM     all     21.76      0.00     11.40      0.52      0.00     66.32
12:42:35 AM     all     21.76      0.00     11.92      0.00      0.00     66.32
12:42:37 AM     all     22.96      0.00     13.27      0.00      0.00     63.78
12:42:39 AM     all     24.88      0.00      9.45      0.00      0.00     65.67
12:42:41 AM     all     22.22      0.00      7.94      0.00      0.00     69.84
12:42:43 AM     all     23.96      0.00      8.85      0.00      0.00     67.19
12:42:45 AM     all     17.39      0.00     11.96      0.00      0.00     70.65
12:42:47 AM     all     23.08      0.00     11.28      0.00      0.00     65.64
12:42:49 AM     all     22.05      0.00     10.26      0.00      0.00     67.69
12:42:51 AM     all     20.53      0.00     11.05      0.00      0.00     68.42
12:42:53 AM     all     22.34      0.00     11.17      0.00      0.00     66.50
12:42:55 AM     all     23.08      0.00     11.79      0.00      0.00     65.13
12:42:57 AM     all     26.70      0.00      8.90      0.00      0.00     64.40
12:42:59 AM     all     24.87      0.00      9.64      0.00      0.00     65.48
12:43:01 AM     all     19.25      0.00     11.23      0.00      0.00     69.52
12:43:03 AM     all     24.87      0.00     10.36      0.00      0.00     64.77
12:43:05 AM     all     22.34      0.00     10.64      0.00      0.00     67.02
12:43:07 AM     all     24.87      0.00     13.23      0.00      0.00     61.90
12:43:09 AM     all     21.35      0.00     11.98      0.00      0.00     66.67
12:43:12 AM     all     23.83      0.00     11.40      0.00      0.00     64.77
12:43:14 AM     all     25.13      0.00     10.70      0.00      0.00     64.17
12:43:16 AM     all     24.35      0.00     11.40      0.00      0.00     64.25
12:43:18 AM     all     23.04      0.00      9.42      0.52      0.00     67.02
12:43:20 AM     all     22.99      0.00     11.23      0.00      0.00     65.78
12:43:22 AM     all     22.22      0.00     11.11      0.00      0.00     66.67
12:43:24 AM     all     28.12      0.00     10.42      0.00      0.00     61.46
12:43:26 AM     all     23.83      0.00     10.88      0.00      0.00     65.28
12:43:28 AM     all     23.32      0.00      9.33      0.00      0.00     67.36
12:43:30 AM     all     29.50      0.00     10.00      0.50      0.00     60.00
12:43:32 AM     all     26.77      0.00     13.64      0.00      0.00     59.60
12:43:34 AM     all     23.62      0.00     12.56      0.00      0.00     63.82
12:43:36 AM     all     22.96      0.00     12.24      0.00      0.00     64.80
12:43:38 AM     all     26.04      0.00     13.02      0.00      0.00     60.94
12:43:40 AM     all     23.44      0.00      9.38      0.00      0.00     67.19
12:43:42 AM     all     22.16      0.00     12.89      0.00      0.00     64.95
12:43:44 AM     all     21.69      0.00     10.05      0.00      0.00     68.25
12:43:46 AM     all     23.38      0.00     11.94      0.00      0.00     64.68
12:43:48 AM     all     23.47      0.00     11.22      0.00      0.00     65.31
12:43:50 AM     all     22.63      0.00     11.58      0.00      0.00     65.79
12:43:52 AM     all     25.13      0.00      9.95      0.00      0.00     64.92
12:43:54 AM     all     23.16      0.00     10.53      0.00      0.00     66.32
12:43:56 AM     all     24.10      0.00     10.26      0.00      0.00     65.64
12:43:58 AM     all     26.13      0.00     11.56      0.00      0.00     62.31
12:44:00 AM     all     22.75      0.00      8.99      0.00      0.00     68.25
12:44:02 AM     all     22.84      0.00     13.71      0.00      0.00     63.45
12:44:04 AM     all     26.18      0.00     10.99      0.00      0.00     62.83
12:44:06 AM     all     22.92      0.00     10.94      0.00      0.00     66.15
12:44:08 AM     all     24.35      0.00     10.88      0.52      0.00     64.25
